host_id,host_name,host_since,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_identity_verified
955449,Silvio,2011-08-11,f,within a few hours,100%,70%,2,3,t
8145510,Ruth,2013-08-14,t,within an hour,100%,90%,6,6,t
4997811,Rebecca,2013-02-07,t,within an hour,96%,91%,4,4,t
970192,Colleen,2011-08-14,f,within an hour,100%,40%,1,1,t
8288997,Richard,2013-08-20,t,within an hour,100%,100%,1,1,t
563380260,Pbg,2024-02-22,f,,,,6,7,t
23470058,K,2014-11-07,t,within an hour,100%,68%,5,23,t
71184,Hiroshi & Naomi,2010-01-17,t,within an hour,100%,92%,1,1,t
31217093,Barry,2015-04-14,f,,,,1,1,f
31823352,Christene,2015-04-23,f,within an hour,100%,100%,2,6,t
31620704,Jill & Noreen,2015-04-20,t,within an hour,100%,100%,3,4,t
33077287,Sergio,2015-05-10,t,within an hour,100%,62%,2,3,t
7608280,Gavin,2013-07-20,t,within a day,100%,54%,3,5,t
33766481,Nicole,2015-05-19,f,,,,1,2,t
22544786,Gina,2014-10-14,f,within an hour,100%,,1,11,t
32130915,Natalie,2015-04-28,f,,,0%,1,1,t
31253536,Brett,2015-04-15,t,within an hour,100%,100%,1,1,t
34530369,Lori,2015-05-29,t,within an hour,100%,91%,1,1,t
34740382,Angie,2015-06-01,t,,,100%,1,1,t
28431458,David,2015-02-27,f,,,,1,1,t
7914034,Sophie,2013-08-03,t,,,100%,1,1,t
20374475,Alison,2014-08-21,t,within a few hours,100%,100%,3,3,t
38791285,Rose,2015-07-17,f,within a few hours,100%,73%,3,5,t
19068812,Ashley,2014-07-28,t,within an hour,100%,95%,2,2,t
42762931,Debbie,2015-08-28,f,a few days or more,0%,0%,2,2,t
9309064,Katherine,2013-10-08,f,within a few hours,100%,60%,2,2,t
45690657,Annabel,2015-10-03,f,within an hour,100%,33%,1,1,f
45777946,Camelia,2015-10-04,f,within a few hours,100%,100%,2,3,t
44955677,Wendy,2015-09-23,f,within a day,100%,95%,1,1,t
46180149,Nkemuhuruanya (Regina),2015-10-09,f,within an hour,100%,77%,3,3,t
49126625,Krista,2015-11-15,f,,,20%,1,1,t
51959802,Nelma,2015-12-21,f,,,,1,1,f
17190273,Leroy,2014-06-24,f,within a few hours,60%,82%,2,6,t
48915087,Nelson,2015-11-13,t,within an hour,100%,100%,1,2,t
61102366,Charlotte & Jim,2016-03-01,t,within an hour,100%,93%,1,3,t
43119179,Deborah,2015-09-01,f,within a day,100%,,1,1,t
65535254,Tiffany,2016-04-02,f,within a few hours,90%,0%,6,6,f
5078608,Devin,2013-02-13,t,within an hour,100%,100%,2,2,t
49214281,Philip,2015-11-16,f,a few days or more,0%,0%,1,2,t
88153611,Francis,2016-08-05,f,within an hour,100%,90%,3,4,t
84261849,Susan,2016-07-17,f,within an hour,100%,100%,1,1,t
66027644,Charles,2016-04-06,f,within a day,100%,,1,1,t
60400653,Karin & Mark,2016-02-25,t,within an hour,100%,97%,1,2,t
95776055,Curtis,2016-09-18,f,within an hour,88%,97%,20,34,t
97139450,Lai Guen,2016-09-28,f,within a few hours,100%,89%,1,2,t
97659537,Natalie,2016-10-02,t,within an hour,100%,100%,2,2,t
101898460,David,2016-10-31,t,within an hour,100%,98%,1,1,t
103358415,Al,2016-11-11,f,,,100%,4,5,t
106742367,Lowell,2016-12-09,f,,,,1,2,t
44467977,Tony & Nina,2015-09-17,t,within an hour,100%,86%,2,2,t
112299835,Dené,2017-01-19,f,within an hour,100%,100%,1,1,t
113835860,Thomas,2017-01-29,t,within an hour,100%,100%,2,2,t
120967910,Merj,2017-03-15,t,within an hour,100%,100%,3,3,t
125166589,Aleta,2017-04-10,t,within an hour,88%,100%,1,1,f
119556952,Temitope,2017-03-07,f,,,,2,3,t
64832612,Faith,2016-03-28,f,within an hour,100%,67%,2,2,t
6366974,Graham,2013-05-13,f,,,0%,1,1,t
40509243,Pierre,2015-08-04,t,within an hour,100%,100%,3,3,t
11151940,Steph,2014-01-09,t,within an hour,100%,96%,2,4,t
58881006,Jude,2016-02-15,t,within an hour,100%,90%,1,1,t
137416520,Mary Jay,2017-06-28,t,within an hour,93%,97%,2,2,t
114498849,Nest Host,2017-02-02,f,within an hour,100%,96%,73,78,t
76265808,Carolina,2016-06-07,f,,,,1,3,t
137744259,Gloria,2017-06-29,f,,,100%,1,1,t
140414208,Tony,2017-07-14,t,within an hour,100%,100%,1,1,t
86138438,Dominique,2016-07-26,t,within an hour,100%,93%,3,21,t
141354470,Sheri,2017-07-19,t,within an hour,100%,92%,1,1,t
141392319,Matthew,2017-07-19,t,within an hour,100%,100%,1,1,t
12547985,Janique,2014-02-24,f,,,,1,1,t
144343801,Tammy,2017-08-04,t,within an hour,97%,99%,2,2,t
134777230,Julia,2017-06-12,t,,,100%,2,24,t
11773408,Morgan & Damon,2014-01-29,t,within an hour,100%,100%,1,1,t
5153325,Ron,2013-02-19,f,within an hour,100%,73%,1,3,t
8332120,Johanna,2013-08-22,f,within an hour,100%,97%,2,4,t
150297977,Maria,2017-09-12,f,,,,1,1,t
149271769,Derek,2017-09-05,t,within an hour,100%,95%,1,1,t
455475,Dave,2011-03-21,t,within an hour,100%,98%,1,1,t
101847099,Louise,2016-10-30,f,,,,1,2,t
147578945,Michael,2017-08-24,t,within an hour,100%,100%,4,4,t
92517844,Ruth,2016-08-29,t,within a few hours,100%,90%,2,2,f
112344629,Lan,2017-01-20,t,within an hour,100%,100%,2,4,t
81315066,Rp,2016-07-02,t,within a few hours,100%,65%,3,3,t
8407330,Christie,2013-08-26,f,,,100%,1,1,t
158349313,Sadmir,2017-11-11,f,,,,1,2,f
159932147,Rebecca,2017-11-24,t,,,83%,1,1,t
160038191,Olawuyi,2017-11-25,f,within an hour,100%,78%,3,3,t
165102371,Lorraine,2017-12-31,t,,,100%,1,1,t
40200324,Taylor & Jason,2015-08-01,t,within an hour,100%,99%,4,6,t
85761896,Pamela,2016-07-24,t,within an hour,100%,100%,1,2,t
158970875,Adam,2017-11-16,f,a few days or more,0%,0%,1,1,t
74203278,Roam,2016-05-26,f,within an hour,100%,99%,66,69,t
102914635,Liam,2016-11-07,t,within an hour,100%,100%,1,1,t
8183935,Vlada,2013-08-15,t,within an hour,100%,82%,2,5,t
73231239,Rory,2016-05-21,f,,,,1,4,t
127173281,Ilse,2017-04-23,f,,,,2,5,t
176861109,Montierro,2018-03-05,f,within an hour,100%,100%,5,6,f
91879760,Leith,2016-08-25,t,within an hour,100%,92%,1,1,t
18167901,Cherie,2014-07-15,t,within an hour,100%,98%,4,7,t
175128084,Mary Grace,2018-02-24,f,,,,3,4,t
3697334,Carlyle,2012-09-28,f,,,0%,1,1,t
37841665,Kristen,2015-07-07,f,within a day,80%,60%,1,2,t
184170702,Janice,2018-04-14,t,within an hour,98%,100%,19,19,t
15874551,Paige,2014-05-22,f,a few days or more,33%,0%,1,1,t
184891476,William Robert,2018-04-17,t,within an hour,100%,100%,1,3,t
185671079,Egilio,2018-04-22,t,within an hour,100%,95%,2,2,t
185730560,Ruqqia,2018-04-22,f,,,,1,12,f
186831999,John,2018-04-28,t,,,90%,2,2,t
101838697,Bryan,2016-10-30,t,within an hour,100%,100%,2,2,t
766301,Sarah,2011-07-01,f,,,,1,1,t
131850887,Jordan,2017-05-24,f,within an hour,100%,0%,1,1,t
188495593,Harvey,2018-05-08,f,,,,1,12,t
122930869,Justine,2017-03-27,f,within a day,50%,67%,2,2,t
169074939,Georgina,2018-01-21,f,within a day,100%,100%,1,1,t
25893237,Lynda,2015-01-10,f,a few days or more,0%,,1,1,t
3638197,Veronika & Andreas,2012-09-21,f,,,,1,2,t
192561013,Jemal,2018-05-30,f,,,94%,1,2,t
108713039,Ana,2016-12-27,f,within an hour,100%,100%,2,2,t
28643127,Lisa,2015-03-02,t,within an hour,100%,98%,2,4,t
111299398,Zac,2017-01-13,f,,,,1,1,t
185100371,E.Q,2018-04-19,f,within an hour,100%,92%,19,52,t
201737397,Mutiu,2018-07-12,f,within an hour,100%,93%,1,3,t
11135988,Mary,2014-01-08,t,within an hour,100%,100%,4,5,t
123302934,Executive Stay,2017-03-29,t,within a few hours,100%,99%,8,25,t
208340512,Teo,2018-08-08,f,,,,1,1,t
163329984,Laura,2017-12-19,t,within an hour,100%,100%,1,2,t
210390796,Iresha,2018-08-18,f,,,,1,1,f
211858688,Aizeyosabo,2018-08-26,f,,,,1,1,f
116800314,Tevin,2017-02-17,t,within an hour,100%,98%,1,1,t
38109052,Michelle,2015-07-10,f,within an hour,100%,83%,1,2,t
215545724,Robert,2018-09-15,f,within a few hours,100%,100%,1,1,t
70451075,Celina & David,2016-05-05,f,,,92%,1,1,t
222606237,Christina,2018-10-25,f,within a few hours,100%,91%,1,1,t
199538184,Olamilekan,2018-07-02,t,within a few hours,100%,94%,4,4,t
226116075,Darwin,2018-11-16,f,,,25%,1,1,f
226695089,Henry,2018-11-20,f,,,100%,1,1,f
21822383,Julie,2014-09-26,t,within an hour,100%,93%,1,1,t
227017023,Marisa,2018-11-22,f,,,100%,1,1,f
61465737,Sheyi,2016-03-03,f,,,,1,1,t
313682239,E.Q,2019-12-02,t,within an hour,100%,93%,19,24,t
110192366,Stay549,2017-01-06,t,within an hour,100%,92%,7,8,t
155904768,Nini,2017-10-23,t,,,63%,1,1,t
105884901,Stas,2016-12-02,t,within an hour,100%,100%,7,7,t
120010020,Misty,2017-03-09,f,a few days or more,0%,0%,2,2,t
137404574,Hilda,2017-06-27,t,within an hour,100%,100%,2,2,t
134518216,Roy,2017-06-11,f,within an hour,100%,100%,1,1,t
15818259,Kelly,2014-05-21,f,within a few hours,100%,100%,2,4,f
236337476,Roxy,2019-01-13,t,within an hour,100%,94%,1,1,t
134598415,Robert,2017-06-11,f,,,,1,1,f
1526411,Graham,2011-12-22,t,within an hour,100%,98%,1,1,f
69578822,Melanie,2016-04-29,t,within an hour,100%,98%,4,4,t
238999894,Mat,2019-01-25,f,within an hour,100%,86%,3,3,t
239185971,Faisane,2019-01-26,f,,,,1,1,f
82573513,Evan Chase,2016-07-08,t,within an hour,100%,85%,1,1,t
240319765,Chris,2019-02-01,f,,,,1,1,f
241521418,Destiny,2019-02-06,f,within a few hours,80%,50%,1,1,f
66518418,Alyssa,2016-04-09,f,,,0%,1,2,t
