id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,instant_bookable
464384,Rental unit in Winnipeg · ★4.40 · 3 bedrooms · 5 beds · 1.5 baths,955449,Entire rental unit,Entire home/apt,8,,,$82.00,5,1125,5,5,1125,1125,5.0,1125.0,t,2,32,62,337,f
1526583,Bungalow in Winnipeg · ★4.71 · 3 bedrooms · 4 beds · 2 shared baths,8145510,Private room in bungalow,Private room,1,,,$35.00,3,180,3,3,180,180,3.0,180.0,t,0,1,2,200,f
1529013,Guest suite in Winnipeg · ★4.84 · Studio · 1 bed · 1 bath,4997811,Entire guest suite,Entire home/apt,2,,,$63.00,3,365,3,3,365,365,3.0,365.0,t,0,18,18,259,f
1559076,Condo in Winnipeg · ★4.93 · 1 bedroom · 1 bed · 2.5 baths,970192,Entire condo,Entire home/apt,2,,,$90.00,28,365,28,28,365,365,28.0,365.0,t,0,3,3,256,f
1664166,Home in Winnipeg · ★4.83 · 5 bedrooms · 5 beds · 2 baths,8288997,Entire home,Entire home/apt,10,,,$200.00,2,1125,2,2,1125,1125,2.0,1125.0,t,21,51,81,356,f
3664955,Rental unit in Winnipeg · ★4.89 · 2 bedrooms · 2 beds · 2 baths,18581972,Entire rental unit,Entire home/apt,4,,,$129.00,3,1125,3,3,3,1125,3.0,1122.4,t,22,52,82,171,t
3665425,Condo in Winnipeg · ★4.90 · 2 bedrooms · 2 beds · 2 baths,18581972,Entire condo,Entire home/apt,5,,,$129.00,3,1125,3,3,3,1125,3.0,1109.5,t,10,10,19,19,t
4574645,Bungalow in Winnipeg · ★4.78 · 1 bedroom · 1 private bath,23470058,Private room in bungalow,Private room,2,,,$60.00,3,1125,3,3,1125,1125,3.0,1125.0,t,30,60,89,89,f
5395880,Home in Winnipeg · ★4.67 · 2 bedrooms · 3 beds · 2 baths,23470058,Entire home,Entire home/apt,5,,,$150.00,4,1125,4,4,1125,1125,4.0,1125.0,t,13,27,27,27,f
5420833,Home in Winnipeg · ★4.98 · 1 bedroom · 2 beds · 1 private bath,71184,Private room in home,Private room,4,,,$55.00,1,30,1,1,30,30,1.0,30.0,t,0,14,14,47,f
6013819,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,31217093,Entire home,Entire home/apt,4,,,$220.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,0,229,f
6170275,Home in Winnipeg · ★4.83 · 5 bedrooms · 5 beds · 2 baths,31823352,Entire home,Entire home/apt,9,,,$490.00,4,1125,4,4,1125,1125,4.0,1125.0,t,7,7,7,186,f
6262372,Home in Winnipeg · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,31620704,Private room in home,Private room,2,,,$59.00,1,29,1,1,1125,1125,1.0,1125.0,t,30,60,90,313,f
6349369,Home in Winnipeg · ★4.89 · 1 bedroom · 1 bed · 1 bath,33077287,Entire home,Entire home/apt,4,,,$60.00,3,1125,3,3,1125,1125,3.0,1125.0,t,7,27,37,312,f
6350400,Home in Winnipeg · ★4.85 · 1 bedroom · 1 bed · 1 bath,33077287,Entire home,Entire home/apt,2,,,$60.00,3,120,3,3,120,120,3.0,120.0,t,7,37,67,113,f
6425184,Loft in Winnipeg · ★4.50 · Studio · 1 bed · 1 bath,7608280,Entire loft,Entire home/apt,3,,,$99.00,3,1125,2,3,1125,1125,3.0,1125.0,t,2,2,18,293,f
6465000,Condo in Winnipeg · ★4.98 · 1 bedroom · 1 bed · 1 bath,33766481,Entire condo,Entire home/apt,3,,,,30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,0,f
6503691,Townhouse in Winnipeg · 1 bedroom · 1 bed · 1 bath,32130915,Private room in townhouse,Private room,2,,,$80.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,f
6504088,Bungalow in Winnipeg · ★4.86 · 1 bedroom · 1 bed · 1 private bath,23470058,Private room in bungalow,Private room,2,,,$45.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,44,44,270,f
