property_type_id,property_type
1,Barn
2,Camper/RV
3,Entire bungalow
4,Entire condo
5,Entire guest suite
6,Entire guesthouse
7,Entire home
8,Entire loft
9,Entire place
10,Entire rental unit
11,Entire serviced apartment
12,Entire townhouse
13,Entire vacation home
14,Entire villa
15,Private room in bed and breakfast
16,Private room in bungalow
17,Private room in casa particular
18,Private room in condo
19,Private room in dome
20,Private room in farm stay
21,Private room in guest suite
22,Private room in guesthouse
23,Private room in home
24,Private room in hostel
25,Private room in loft
26,Private room in rental unit
27,Private room in serviced apartment
28,Private room in tiny home
29,Private room in townhouse
30,Private room in vacation home
31,Private room in villa
32,Room in boutique hotel
33,Room in hotel
34,Shared room in bed and breakfast
35,Shared room in bungalow
36,Shared room in guest suite
37,Shared room in home
38,Shared room in rental unit
39,Shared room in shipping container
40,Tent
41,Tiny home
42,Tower
