id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
464384,2012-09-17,2023-09-04,95,2,0,4,4,4,5,5,5,5,1
1526583,2018-11-10,2024-01-15,35,2,0,5,5,5,5,5,5,5,1
1529013,2014-10-07,2024-03-16,137,8,1,5,5,5,5,5,5,5,1
1559076,2013-10-18,2024-01-19,29,4,0,5,5,5,5,5,5,5,0
1664166,2014-06-02,2024-03-11,153,26,2,5,5,5,5,5,5,5,1
3665425,2015-08-19,2024-01-05,35,24,0,5,5,5,5,5,5,5,0
4574645,2015-06-11,2024-01-26,55,6,0,5,5,5,5,5,5,5,1
5395880,2015-09-26,2020-08-18,15,0,0,5,5,5,5,5,5,5,0
5420833,2015-06-10,2024-02-22,136,10,1,5,5,5,5,5,5,5,1
6013819,2015-06-12,2017-08-12,5,0,0,5,5,5,5,5,5,5,0
6170275,2017-04-18,2023-08-11,18,2,0,5,5,5,5,5,5,5,0
6262372,2015-06-13,2024-02-25,190,20,1,5,5,5,5,5,5,5,2
6349369,2015-05-12,2023-10-19,91,10,0,5,5,5,5,5,5,5,1
6350400,2016-04-12,2024-02-01,91,9,0,5,5,5,5,5,5,5,1
6425184,2021-07-29,2024-02-29,7,2,1,4,4,5,5,5,5,4,0
6465000,2015-06-01,2018-12-08,151,0,0,5,5,5,5,5,5,5,1
6493061,2017-08-07,2022-05-23,4,0,0,5,5,5,5,5,5,5,0
6504088,2016-03-18,2023-10-19,36,4,0,5,5,5,5,5,5,5,0
6577123,2015-06-12,2023-12-01,19,4,0,5,5,5,5,5,5,5,0
6600452,2015-06-15,2024-01-06,287,30,0,5,5,5,5,5,5,5,3
6645164,2015-06-22,2023-09-28,148,9,0,5,5,5,5,5,5,5,1
6729013,2015-06-14,2017-04-09,6,0,0,5,5,5,5,5,5,4,0
6850453,2015-09-11,2023-10-30,263,24,0,5,5,5,5,5,5,5,3
6958427,2017-03-24,2023-08-27,80,3,0,5,5,5,5,5,5,5,1
7403049,2015-08-13,2023-12-15,24,4,0,5,5,5,5,5,5,5,0
7556469,2015-08-08,2024-03-20,769,66,1,5,5,5,5,5,5,5,7
7916359,2018-12-09,2024-01-16,64,6,0,5,5,5,5,5,5,5,1
8098097,2015-11-09,2019-10-16,24,0,0,5,5,5,5,5,5,5,0
8565594,2015-10-11,2023-12-01,25,2,0,5,5,5,5,5,5,5,0
8703847,2015-11-12,2023-02-12,24,0,0,5,5,5,5,5,5,5,0
8722108,2015-11-19,2023-07-22,8,2,0,5,5,5,5,5,5,5,0
8736262,2015-11-29,2023-11-09,69,13,0,5,5,5,5,5,5,5,1
8848038,2016-08-19,2023-11-14,24,2,0,5,5,5,5,5,5,5,0
8885819,2019-08-06,2023-10-11,24,5,0,5,5,5,5,5,5,5,0
9171210,2016-06-19,2023-05-21,6,1,0,5,5,5,5,5,5,5,0
9229642,2015-11-16,2023-11-15,144,3,0,5,5,5,5,5,5,5,1
9632927,2016-01-18,2023-10-31,98,1,0,5,5,5,5,5,5,5,1
10495242,2023-06-29,2023-06-29,1,1,0,5,5,5,5,5,5,5,0
11533848,2016-03-09,2024-02-19,84,10,0,5,5,5,5,5,5,5,1
11841673,2016-08-06,2024-02-10,95,20,0,5,5,5,5,5,5,5,1
