id,latitude,longitude,neighbourhood_cleansed
464384,49.86746,-97.13952,Fort Rouge - East Fort Garry
1526583,49.86024,-97.153,Fort Rouge - East Fort Garry
1529013,49.88285,-97.16937,Daniel McIntyre
1559076,49.86578,-97.20899,Charleswood - Tuxedo - Westwood
1664166,49.866,-97.11149,St. Vital
3664955,49.8805,-97.14399,Fort Rouge - East Fort Garry
3665425,49.88021,-97.14516,Fort Rouge - East Fort Garry
4574645,49.95255,-97.06113,North Kildonan
5395880,49.95453,-97.06287,North Kildonan
5420833,49.9097,-97.06932,Elmwood - East Kildonan
6013819,49.85536,-97.12056,St. Vital
6170275,49.87337,-97.18107,River Heights - Fort Garry
6262372,49.8831,-97.16491,Daniel McIntyre
6349369,49.92575,-97.09594,Elmwood - East Kildonan
6350400,49.92575,-97.09594,Elmwood - East Kildonan
6425184,49.89832,-97.12646,St. Boniface
6465000,49.89332,-97.12552,St. Boniface
6503691,49.8271,-97.07114,St. Vital
6504088,49.95259,-97.06206,North Kildonan
6577123,49.88474,-97.14456,Fort Rouge - East Fort Garry
6600452,49.874,-97.19033,River Heights - Fort Garry
6645164,49.95232,-97.19037,Old Kildonan
6729013,49.88457,-97.15357,Fort Rouge - East Fort Garry
6821819,49.89954,-97.1339,Point Douglas
6850453,49.87726,-97.10574,St. Boniface
6958427,49.88304,-97.16857,Daniel McIntyre
7403049,49.86492,-97.1775,River Heights - Fort Garry
7556469,49.91978,-97.11485,North Kildonan
7916359,49.86179,-97.09886,St. Vital
8098097,49.91721,-97.10462,Elmwood - East Kildonan
8565594,49.88245,-97.14597,Fort Rouge - East Fort Garry
8703847,49.87108,-97.16342,River Heights - Fort Garry
8722108,49.83789,-97.19729,River Heights - Fort Garry
8736262,49.8155,-97.10435,St. Norbert - Seine River
8848038,49.91025,-97.09143,Elmwood - East Kildonan
8868539,49.88464,-97.13601,Fort Rouge - East Fort Garry
8885819,49.9098,-97.09174,Elmwood - East Kildonan
9171210,49.83905,-97.19858,River Heights - Fort Garry
9229642,49.88423,-97.1546,Fort Rouge - East Fort Garry
9632927,49.87175,-97.08567,St. Boniface
10495242,49.86647,-97.15478,Fort Rouge - East Fort Garry
10862820,49.89748,-97.1353,Point Douglas
11533848,49.89318,-97.18028,Daniel McIntyre
11841673,49.87276,-97.17305,River Heights - Fort Garry
12113228,49.85975,-97.2237,Charleswood - Tuxedo - Westwood
12191809,49.87232,-97.14751,Fort Rouge - East Fort Garry
13039593,49.87064,-97.19455,River Heights - Fort Garry
13141728,49.89298,-97.1459,Daniel McIntyre
14016269,49.82388,-97.14863,River Heights - Fort Garry
14369936,49.78653,-97.20973,Waverley West
14533478,49.86441,-97.15934,River Heights - Fort Garry
14948549,49.78402586984097,-97.17663404130114,Waverley West
15019119,49.88065,-97.12644,St. Boniface
15115319,49.87597,-97.1461,Fort Rouge - East Fort Garry
15230180,49.88013,-97.14369,Fort Rouge - East Fort Garry
15269088,49.79835,-97.16643,Waverley West
15324736,49.88115,-97.14549,Fort Rouge - East Fort Garry
15379668,49.86018,-97.13009,Fort Rouge - East Fort Garry
15759774,49.92549,-97.11179,Mynarski
15760079,49.85187,-97.2186,Charleswood - Tuxedo - Westwood
15835120,49.86608,-97.1787,River Heights - Fort Garry
15928457,49.88198,-97.15395,Fort Rouge - East Fort Garry
15962345,49.88771,-97.13941,Fort Rouge - East Fort Garry
16312922,49.89797,-97.14152,Point Douglas
16465699,49.90267,-97.12785,Point Douglas
16542682,49.87348,-97.14752,Fort Rouge - East Fort Garry
16703673,49.82184,-97.12633,St. Vital
16857846,49.87862,-97.14225,Fort Rouge - East Fort Garry
16994402,49.8894,-97.2945,St. James
17736300,49.88572,-97.1696,Daniel McIntyre
17991311,49.86027,-97.13004,Fort Rouge - East Fort Garry
18117456,49.78775,-97.14164,St. Norbert - Seine River
18117508,49.7877,-97.14404,St. Norbert - Seine River
18152359,49.86922,-97.12722,Fort Rouge - East Fort Garry
18361859,49.77936,-97.181,Waverley West
18489971,49.81244,-97.08218,St. Norbert - Seine River
18687663,49.86259,-97.15003,Fort Rouge - East Fort Garry
19135087,49.86832,-97.13729,Fort Rouge - East Fort Garry
19229078,49.88483,-97.12052,St. Boniface
19346843,49.88632,-97.11344,St. Boniface
25539735,49.88692,-97.22333,St. James
19554635,49.85961,-97.17672,River Heights - Fort Garry
19556636,49.90465,-97.04276,Transcona
19784940,49.89851,-97.13583,Point Douglas
19807945,49.90845,-97.08965,Elmwood - East Kildonan
19830207,49.95953,-97.08885,North Kildonan
19856231,49.92321,-97.12114,Mynarski
19893969,49.88528,-97.16975,Daniel McIntyre
19943640,49.89326,-97.11676,St. Boniface
19945440,49.88141,-97.16599,Daniel McIntyre
19949282,49.88825,-97.13784,Fort Rouge - East Fort Garry
19967328,49.84343,-97.10509,St. Vital
20007181,49.88087,-97.17431,Daniel McIntyre
20255385,49.90757,-97.03762,Transcona
20360491,49.88865,-97.15294,Fort Rouge - East Fort Garry
20405074,49.89597,-97.18499,Daniel McIntyre
20457606,49.80279,-97.13236,St. Norbert - Seine River
20542130,49.8961,-97.13412,Point Douglas
20573647,49.90355,-97.12692,Point Douglas
20583144,49.89859,-97.13575,Point Douglas
20759250,49.91466,-97.11226,Elmwood - East Kildonan
20814619,49.93033,-97.09113,Elmwood - East Kildonan
20968358,49.88369,-97.16148,Daniel McIntyre
21041138,49.88699,-97.11982,St. Boniface
21077938,49.85539,-97.18534,River Heights - Fort Garry
21141111,49.87167,-97.19735,River Heights - Fort Garry
21229614,49.81747,-97.20736,Waverley West
21231243,49.92335,-97.13572,Mynarski
21375970,49.87128,-97.11575,St. Boniface
21501002,49.88783,-97.11352,St. Boniface
21514826,49.81646,-97.2055,Waverley West
21538416,49.86018,-97.13009,Fort Rouge - East Fort Garry
21753823,49.86532,-97.19733,River Heights - Fort Garry
21813133,49.87541,-97.14751,Fort Rouge - East Fort Garry
21837665,49.88087,-97.17431,Daniel McIntyre
21881934,49.86075,-97.13047,Fort Rouge - East Fort Garry
21919063,49.8792,-97.14911,Fort Rouge - East Fort Garry
21956686,49.79359,-97.15531,St. Norbert - Seine River
22120139,49.86753,-97.17009,River Heights - Fort Garry
22505139,49.88638,-97.11627,St. Boniface
22545718,49.88898,-97.11685,St. Boniface
22812947,49.90523,-97.17165,Daniel McIntyre
22943551,49.89316,-97.14448,Fort Rouge - East Fort Garry
23073257,49.79413,-97.1557,St. Norbert - Seine River
23101260,49.88609,-97.17244,Daniel McIntyre
23126855,49.89826,-97.13658,Point Douglas
23223000,49.8774,-97.15698,Fort Rouge - East Fort Garry
23265785,49.86076,-97.15954,River Heights - Fort Garry
23373186,49.88125,-97.1421,Fort Rouge - East Fort Garry
23613281,49.88262,-97.18853,Daniel McIntyre
23627811,49.89041,-97.29546,St. James
23632750,49.84798,-97.15446,River Heights - Fort Garry
23643938,49.87245,-97.14747,Fort Rouge - East Fort Garry
23687236,49.87979,-97.14137,Fort Rouge - East Fort Garry
23688055,49.89869,-97.13565,Point Douglas
23735490,49.92225,-97.13725,Mynarski
23998136,49.77202,-97.18503,Waverley West
23999379,49.77418,-97.18286,Waverley West
24000513,49.77286,-97.18371,Waverley West
24056711,49.91711,-97.12039,Elmwood - East Kildonan
24064823,49.86068,-97.12931,Fort Rouge - East Fort Garry
24139716,49.85942,-97.15864,River Heights - Fort Garry
24276259,49.79309,-97.20024,Waverley West
24310781,49.86426,-97.16053,River Heights - Fort Garry
24398955,49.8888,-97.13989,Fort Rouge - East Fort Garry
24420661,49.82114,-97.1928,Waverley West
24431126,49.88143,-97.18876,Daniel McIntyre
24476896,49.89756,-97.13514,Point Douglas
24573131,49.88026,-97.14265,Fort Rouge - East Fort Garry
24579927,49.80798,-97.07744,St. Norbert - Seine River
24677894,49.87855,-97.14338,Fort Rouge - East Fort Garry
24678630,49.90824,-97.03654,Transcona
24717604,49.85376,-97.20112,River Heights - Fort Garry
24796952,49.81757,-97.08228,St. Norbert - Seine River
24821874,49.87617,-97.14824,Fort Rouge - East Fort Garry
24865203,49.86296,-97.26072,Charleswood - Tuxedo - Westwood
24895418,49.87454,-97.12842,St. Boniface
24942008,49.85878,-97.1246,Fort Rouge - East Fort Garry
24944555,49.87576,-97.14771,Fort Rouge - East Fort Garry
24964863,49.82158,-97.12542,St. Vital
24969160,49.76242,-97.11906,St. Norbert - Seine River
25157521,49.88271,-97.20762,St. James
25313408,49.86932,-97.17321,River Heights - Fort Garry
25570456,49.85207,-97.0634,St. Boniface
25780391,49.85362,-97.25297,Charleswood - Tuxedo - Westwood
25885450,49.89366,-97.14488,Daniel McIntyre
26216840,49.80905,-97.08353,St. Norbert - Seine River
26608039,49.87612,-97.14777,Fort Rouge - East Fort Garry
26668708,49.8888,-97.13989,Fort Rouge - East Fort Garry
26783329,49.88062,-97.14136,Fort Rouge - East Fort Garry
26813437,49.87285,-97.11475,St. Boniface
26819452,49.89129,-97.14457,Fort Rouge - East Fort Garry
26848338,49.9054,-97.05234,Transcona
27019047,49.85373,-97.20228,River Heights - Fort Garry
27207195,49.92359,-97.13684,Mynarski
27397042,49.88957,-97.1424,Fort Rouge - East Fort Garry
27542208,49.82858,-97.14998,Fort Rouge - East Fort Garry
27588784,49.88763,-97.16101,Daniel McIntyre
27588785,49.8873,-97.16074,Daniel McIntyre
27588787,49.8873,-97.16108,Daniel McIntyre
27588789,49.88766,-97.16098,Daniel McIntyre
27588790,49.88729,-97.16081,Daniel McIntyre
27588791,49.88738,-97.16132,Daniel McIntyre
27588792,49.88759,-97.16071,Daniel McIntyre
27588793,49.88742,-97.16093,Daniel McIntyre
27610102,49.90091,-97.12721,Point Douglas
27646733,49.86421,-97.17689,River Heights - Fort Garry
27853614,49.88191,-97.18408,Daniel McIntyre
27855927,49.80311,-97.19594,Waverley West
28046558,49.90572,-97.05906,Transcona
28357362,49.92602,-97.17678,Point Douglas
28389128,49.88127,-97.11983,St. Boniface
28415481,49.88151,-97.20642,St. James
28459402,49.87954,-97.1437,Fort Rouge - East Fort Garry
28560248,49.89513,-97.14578,Daniel McIntyre
28604002,49.91694,-97.10335,Elmwood - East Kildonan
28685075,49.89327,-97.11686,St. Boniface
28782868,49.90594,-97.16603,Point Douglas
28815673,49.88894,-97.13967,Fort Rouge - East Fort Garry
29053103,49.88202,-97.14503,Fort Rouge - East Fort Garry
29284880,49.91234,-97.10724,Elmwood - East Kildonan
29569409,49.88894,-97.13967,Fort Rouge - East Fort Garry
29586947,49.83059,-97.04617,St. Vital
29725400,49.7996,-97.10752,St. Norbert - Seine River
29757359,49.86656,-97.16898,River Heights - Fort Garry
29778226,49.79751,-97.10317,St. Norbert - Seine River
29834015,49.89728,-97.12683,St. Boniface
30092809,49.83244,-97.0545,St. Boniface
30176641,49.86276,-97.13414,Fort Rouge - East Fort Garry
30231853,49.893,-97.1455,Daniel McIntyre
30245967,49.89457,-97.15517,Daniel McIntyre
30257915,49.8996,-97.04635,Transcona
30428050,49.8935,-97.1422,Fort Rouge - East Fort Garry
30442896,49.85584,-97.27812,Charleswood - Tuxedo - Westwood
30443324,49.857,-97.27783,Charleswood - Tuxedo - Westwood
30532631,49.87561,-97.1526,Fort Rouge - East Fort Garry
30595133,49.89233,-97.14238,Fort Rouge - East Fort Garry
30726804,49.82608,-97.19953,River Heights - Fort Garry
30932518,49.86005,-97.32187,Charleswood - Tuxedo - Westwood
31045533,49.87002,-97.08471,St. Boniface
31149855,49.89513,-97.14492,Daniel McIntyre
31396921,49.89410759642009,-97.14489284902812,Daniel McIntyre
31498719,49.87945,-97.16383,Daniel McIntyre
31535314,49.86634,-97.18538,River Heights - Fort Garry
31622758,49.88959,-97.14013,Fort Rouge - East Fort Garry
31720671,49.79447,-97.19462,Waverley West
31764914,49.89892,-97.13458,Point Douglas
31865900,49.87662,-97.16582,River Heights - Fort Garry
31885722,49.90775,-97.07098,Elmwood - East Kildonan
31887311,49.90606,-97.06932,Elmwood - East Kildonan
31887599,49.90719,-97.06934,Elmwood - East Kildonan
31905995,49.90119,-97.04788,Transcona
32002326,49.8985,-97.01045,Transcona
32006993,49.78787,-97.1432,St. Norbert - Seine River
32051838,49.93217,-97.09706,Elmwood - East Kildonan
32064679,49.88304,-97.13652,Fort Rouge - East Fort Garry
32167396,49.89486,-97.14565,Daniel McIntyre
32187398,49.88591,-97.21681,St. James
32261505,49.82211,-97.14733,River Heights - Fort Garry
32342977,49.88796,-97.13885,Fort Rouge - East Fort Garry
32363502,49.86258,-97.14518,Fort Rouge - East Fort Garry
32664710,49.8807,-97.14412,Fort Rouge - East Fort Garry
32728509,49.87574,-97.14547,Fort Rouge - East Fort Garry
32780476,49.87248,-97.1478,Fort Rouge - East Fort Garry
32788393,49.88125,-97.14506,Fort Rouge - East Fort Garry
33043126,49.84751,-97.13275,Fort Rouge - East Fort Garry
33160320,49.88561,-97.13674,Fort Rouge - East Fort Garry
33485155,49.93342971801758,-97.04608917236328,North Kildonan
33527029,49.82448,-97.03338,St. Vital
33718930,49.89554,-97.14247,Daniel McIntyre
33879946,49.89784,-96.96856,Transcona
33899947,49.88704,-97.11495,St. Boniface
34095722,49.88453,-97.12006,St. Boniface
34147948,49.89359,-97.14422,Daniel McIntyre
34435249,49.88457,-97.11351,St. Boniface
34558186,49.92142,-97.04866,Elmwood - East Kildonan
34598964,49.84616,-97.22715,Charleswood - Tuxedo - Westwood
34598983,49.84419,-97.2241,Charleswood - Tuxedo - Westwood
34605031,49.87453,-97.1467,Fort Rouge - East Fort Garry
34713260,49.91571,-97.04364,Transcona
34720387,49.88937,-97.14005,Fort Rouge - East Fort Garry
34769613,49.8609,-97.15446,Fort Rouge - East Fort Garry
34839031,49.86322,-97.13968,Fort Rouge - East Fort Garry
34869040,49.89465,-97.14404,Daniel McIntyre
34928960,49.91794,-97.04452,Transcona
34964474,49.89894,-97.13718,Point Douglas
35062963,49.87196,-97.16514,River Heights - Fort Garry
35157314,49.87367,-97.1478,Fort Rouge - East Fort Garry
35167841,49.79942,-97.10567,St. Norbert - Seine River
35616676,49.89556,-97.14081,Point Douglas
35617165,49.7507,-97.11232,St. Norbert - Seine River
35844492,49.89241,-97.14414,Fort Rouge - East Fort Garry
35869331,49.83327,-97.21376,Charleswood - Tuxedo - Westwood
35934650,49.879757,-97.143906,Fort Rouge - East Fort Garry
35974292,49.88182,-97.16384,Daniel McIntyre
36032002,49.86446,-97.12027,Fort Rouge - East Fort Garry
36042586,49.87098,-97.19705,River Heights - Fort Garry
36117951,49.89788,-97.13462,Point Douglas
36143466,49.8942,-97.1426,Daniel McIntyre
36349482,49.87803,-97.16874,Daniel McIntyre
36504535,49.84812,-97.10539,St. Vital
36564209,49.88853,-97.14033,Fort Rouge - East Fort Garry
36876819,49.89033,-97.15299,Daniel McIntyre
36880111,49.87651,-97.1466,Fort Rouge - East Fort Garry
36906307,49.91564,-97.04365,Transcona
36908415,49.89306,-97.14514,Daniel McIntyre
37080019,49.86748,-97.13845,Fort Rouge - East Fort Garry
37199467,49.86236,-97.20006,River Heights - Fort Garry
37213631,49.79219,-97.15412,St. Norbert - Seine River
37216624,49.89069,-97.2056,St. James
37282531,49.84317,-97.16302,River Heights - Fort Garry
37292530,49.8758489,-97.1897128,River Heights - Fort Garry
37367048,49.89925,-97.13512,Point Douglas
37400864,49.89004,-97.14026,Fort Rouge - East Fort Garry
37421568,49.92752,-97.15385,Mynarski
37421981,49.92857,-97.15279,Mynarski
37589738,49.87849,-97.14563,Fort Rouge - East Fort Garry
37623089,49.89462,-97.14396,Daniel McIntyre
37624268,49.89461,-97.14407,Daniel McIntyre
37624941,49.89454,-97.14528,Daniel McIntyre
37833722,49.88024,-97.11534,St. Boniface
37910235,49.81632,-97.14935,Waverley West
37946557,49.86246,-97.12041,Fort Rouge - East Fort Garry
37965838,49.87388,-97.14814,Fort Rouge - East Fort Garry
38119529,49.81546,-97.14815,Waverley West
38167116,49.79435,-97.15402,St. Norbert - Seine River
38186060,49.7711,-97.16663,St. Norbert - Seine River
38261817,49.87041,-97.16319,Fort Rouge - East Fort Garry
38361902,49.88155,-97.11647,St. Boniface
38387582,49.89895,-97.13504,Point Douglas
38390153,49.84715,-97.10576,St. Vital
38390162,49.84777,-97.10441,St. Vital
38408644,49.84625,-97.227,Charleswood - Tuxedo - Westwood
38482680,49.81558,-97.14911,Waverley West
38517753,49.898624,-97.134163,Point Douglas
