id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
464384,https://www.airbnb.com/rooms/464384,20231217045019,2023-12-17,city scrape,Rental unit in Winnipeg · ★4.40 · 3 bedrooms · 5 beds · 1.5 baths,,"Mainly I am surrounded by good neighbours and you are within walking distance to the popular Osborne Village, Corydon patio restaurant lined street and The Forks.<br />- Bus transportation is a block away. ;<br />- taxi rides to most areas $10 to $15. If you are a 3 or more it is cheaper then the Bus.<br />- short walk to restaurants, coffee shops, grocery store and gyms<br />- Bike trails bikes available",https://a0.muscache.com/pictures/897a38b2-1ec6-468c-92d0-86978b93e22f.jpg,955449,https://www.airbnb.com/users/show/955449,Silvio,2011-08-11,"Winnipeg, Canada","I am  Canadian. I was born in Belgium to Italian parents from Abruzzi Italia. I am 66 years old, an electrical engineer now retired with 4 children and 6 grandchildren. I have many relatives in Rome and Abruzzi. I go to Italy every 2 years, usually in August, for the festivals and to visit family but not anymore; too hot! October now! I have many relatives that live in Rome and Abruzzi. I had an uncle in Rome who passed in 2016 at 107. 

Mexico is my second home. Mazatlan and Puerto Vallarta are my main destinations for Mexico . I spend one month there in Nov and 1 month in March. Most of my time is spent mainly in Mazatlan, where I own a condo,  to play tennis and then about  5 days in Puerto Vallarta to Salsa dance. It is the dolce Vita ( sweet life) ,sunny and day time temps of about +28.

I  enjoy hosting on Airbnb mainly because I like meeting new people and having people come from around the world. I use Airbnb whenever I can for traveling around the world because it is so affordable.   Dom and his wife Jessica live close by my home and are co hosts with my airbnb. 

Silvio",within a few hours,100%,69%,f,https://a0.muscache.com/im/pictures/user/96027a79-fee0-4010-a597-9032a4cc0e17.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/96027a79-fee0-4010-a597-9032a4cc0e17.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Fort Rouge - East Fort Garry,,49.86746,-97.13952,Entire rental unit,Entire home/apt,8,,1.5 baths,,5,[],$82.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,2,32,62,337,2023-12-17,95,3,0,2012-09-17,2023-09-04,4.4,4.47,4.47,4.81,4.77,4.66,4.57,,f,1,1,0,0,0.69
1526583,https://www.airbnb.com/rooms/1526583,20231217045019,2023-12-17,city scrape,Bungalow in Winnipeg · ★4.71 · 3 bedrooms · 4 beds · 2 shared baths,,"This side by side home is very close to many bus stops and groceries store, Walmart, Canadian Tire, Grant Park Mall and Pembina Hwy by Staford. 7.5kms away from UofM and UofW. I also host international students at my home.",https://a0.muscache.com/pictures/1d892075-465e-42b3-a9d8-be22f783a274.jpg,8145510,https://www.airbnb.com/users/show/8145510,Ruth,2013-08-14,Canada,"",within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/User-8145510/original/ace26424-04cd-41a1-865b-8ea5edd406d4.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-8145510/original/ace26424-04cd-41a1-865b-8ea5edd406d4.jpeg?aki_policy=profile_x_medium,Ebby - Wentworth,6,6,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Fort Rouge - East Fort Garry,,49.86024,-97.153,Private room in bungalow,Private room,1,,2 shared baths,,4,[],$35.00,3,180,3,3,180,180,3.0,180.0,,t,0,1,2,200,2023-12-17,34,2,0,2018-11-10,2023-09-02,4.71,4.71,4.53,4.82,4.85,4.91,4.85,,f,5,0,5,0,0.55
1529013,https://www.airbnb.com/rooms/1529013,20231217045019,2023-12-17,city scrape,Guest suite in Winnipeg · ★4.84 · Studio · 1 bed · 1 bath,,"There are so many options close by. Cafés, bars, restaurants, grocery stores, amenities, transit and bakeries! Please see my guide which outlines many of the amenities and restaurants in the area as well as some of my favorites a little further away.",https://a0.muscache.com/pictures/65078910-8019-4c37-88b9-cea0ec12235d.jpg,4997811,https://www.airbnb.com/users/show/4997811,Rebecca,2013-02-07,"Winnipeg, Canada","I love meeting new people and having authentic travel experiences! I'd rather stay with the locals and experience it all! I love being an Airbnb host and welcome people from all over the world. Clean, fun, animal lover!",within an hour,100%,93%,t,https://a0.muscache.com/im/pictures/user/User-4997811/original/d8c1fcab-4ad3-41b2-8d76-47266ffba2ea.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4997811/original/d8c1fcab-4ad3-41b2-8d76-47266ffba2ea.jpeg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Daniel McIntyre,,49.88285,-97.16937,Entire guest suite,Entire home/apt,2,,1 bath,,1,[],$63.00,3,365,3,3,365,365,3.0,365.0,,t,0,18,18,259,2023-12-17,134,5,0,2014-10-07,2023-11-01,4.84,4.92,4.96,4.98,4.98,4.9,4.91,,f,4,4,0,0,1.20
1559076,https://www.airbnb.com/rooms/1559076,20231217045019,2023-12-17,city scrape,Condo in Winnipeg · ★4.93 · 1 bedroom · 1 bed · 2.5 baths,,"The condo is located in the upscale neighborhood of Tuxedo. Located off Corydon Avenue, you will have access to dozens of great restaurants and cafes within a 15 minute drive.",https://a0.muscache.com/pictures/22758304/568f7485_original.jpg,970192,https://www.airbnb.com/users/show/970192,Colleen,2011-08-14,"Amsterdam, Netherlands",.,within a day,100%,40%,f,https://a0.muscache.com/im/users/970192/profile_pic/1377101841/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/970192/profile_pic/1377101841/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Charleswood - Tuxedo - Westwood,,49.86578,-97.20899,Entire condo,Entire home/apt,2,,2.5 baths,,1,[],$90.00,28,365,28,28,365,365,28.0,365.0,,t,0,3,3,256,2023-12-17,28,5,1,2013-10-18,2023-12-01,4.93,5.0,4.89,5.0,4.93,4.85,4.89,,f,1,1,0,0,0.23
1664166,https://www.airbnb.com/rooms/1664166,20231217045019,2023-12-17,city scrape,Home in Winnipeg · ★4.83 · 5 bedrooms · 5 beds · 2 baths,,"We are located in beautiful Old St. Vital. We are close to grocery stores, shopping and restaurants. A 6 or 7 minute drive to the scenic Forks, down town and the exchange district. The house is equally as close to the french quarter of St. Boniface.",https://a0.muscache.com/pictures/5265beda-ab9f-4180-aee9-d4a9abf8cade.jpg,8288997,https://www.airbnb.com/users/show/8288997,Richard,2013-08-20,"Winnipeg, Canada",I am a husband and father of 3. I am an award winning tattoo artist. I enjoy travelling and art. I am quiet and well read.,within an hour,100%,100%,t,https://a0.muscache.com/im/users/8288997/profile_pic/1391466680/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8288997/profile_pic/1391466680/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",St. Vital,,49.866,-97.11149,Entire home,Entire home/apt,10,,2 baths,,5,[],$200.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,21,51,81,356,2023-12-17,147,27,0,2014-06-02,2023-10-16,4.83,4.88,4.8,4.92,4.93,4.69,4.82,,f,1,1,0,0,1.27
3664955,https://www.airbnb.com/rooms/3664955,20231217045019,2023-12-17,city scrape,Rental unit in Winnipeg · ★4.89 · 2 bedrooms · 2 beds · 2 baths,,"Osborne Village is a great area filled with  unique shops, markets, restaurants and coffee shops.  There is a grocery stores 3 streets away as well as a pharmacy and liquor store. This area was ranked as Canada's Best Neighborhood. This condo is in a building completed in 2014 and is also only 3 minutes from downtown.",https://a0.muscache.com/pictures/prohost-api/Hosting-3664955/original/a179cede-1995-4dd6-b755-3d5eb34b6bcd.jpeg,18581972,https://www.airbnb.com/users/show/18581972,Ryan,2014-07-21,"Winnipeg, Canada",We strive to offer the best possible service in the business.  We want you to enjoy every aspect of your stay and will not be satisfied until you are completely satisfied with your experience.,within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/95a5df54-d175-4020-a165-cb3b50df2605.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/95a5df54-d175-4020-a165-cb3b50df2605.jpg?aki_policy=profile_x_medium,River - Osborne,9,13,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Fort Rouge - East Fort Garry,,49.8805,-97.14399,Entire rental unit,Entire home/apt,4,,2 baths,,2,[],$129.00,3,1125,3,3,3,1125,3.0,1122.4,,t,22,52,82,171,2023-12-17,150,31,1,2014-08-13,2023-11-19,4.89,4.89,4.91,4.91,4.97,4.83,4.86,,t,9,9,0,0,1.32
3665425,https://www.airbnb.com/rooms/3665425,20231217045019,2023-12-17,city scrape,Condo in Winnipeg · ★4.90 · 2 bedrooms · 2 beds · 2 baths,,,https://a0.muscache.com/pictures/miso/Hosting-3665425/original/6803255b-f1d0-4817-be9b-72d1e5709dd2.jpeg,18581972,https://www.airbnb.com/users/show/18581972,Ryan,2014-07-21,"Winnipeg, Canada",We strive to offer the best possible service in the business.  We want you to enjoy every aspect of your stay and will not be satisfied until you are completely satisfied with your experience.,within an hour,100%,92%,t,https://a0.muscache.com/im/pictures/user/95a5df54-d175-4020-a165-cb3b50df2605.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/95a5df54-d175-4020-a165-cb3b50df2605.jpg?aki_policy=profile_x_medium,River - Osborne,9,13,"['email', 'phone']",t,t,,Fort Rouge - East Fort Garry,,49.88021,-97.14516,Entire condo,Entire home/apt,5,,2 baths,,2,[],$129.00,3,1125,3,3,3,1125,3.0,1109.5,,t,10,10,19,19,2023-12-17,31,22,0,2015-08-19,2023-11-04,4.9,4.87,4.84,4.87,4.97,4.77,4.87,,t,9,9,0,0,0.31
4574645,https://www.airbnb.com/rooms/4574645,20231217045019,2023-12-17,city scrape,Bungalow in Winnipeg · ★4.78 · 1 bedroom · 1 private bath,,,https://a0.muscache.com/pictures/b54c2bc8-1af2-4f9d-8776-f368fc9ba2d9.jpg,23470058,https://www.airbnb.com/users/show/23470058,K,2014-11-07,"Winnipeg, Canada","I am a 47 year old mother and a busy entrepreneur for over 19 years. I have rental properties and used to design clothes, which I sold at festivals. I am also a nature lover. I love to travel and I have lived all over the world. I am happy to share my home and garden with others. ",within an hour,100%,64%,t,https://a0.muscache.com/im/pictures/user/76b60fa4-494a-4a0d-a451-0d73dd054420.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/76b60fa4-494a-4a0d-a451-0d73dd054420.jpg?aki_policy=profile_x_medium,,4,23,"['email', 'phone']",t,t,,North Kildonan,,49.95255,-97.06113,Private room in bungalow,Private room,2,,1 private bath,,,[],$60.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,30,60,89,89,2023-12-17,54,7,0,2015-06-11,2023-08-18,4.78,4.74,4.81,4.87,4.83,4.81,4.81,,f,4,2,2,0,0.52
5395880,https://www.airbnb.com/rooms/5395880,20231217045019,2023-12-17,city scrape,Home in Winnipeg · ★4.67 · 2 bedrooms · 3 beds · 2 baths,,Mountain Bean Coffee at the end of the street is a fun place to relax also with WiFi. The 3 km's of trails out the back is why I bought the home.,https://a0.muscache.com/pictures/2efb6c5b-1b5a-485f-bab7-79591fdfa6f4.jpg,23470058,https://www.airbnb.com/users/show/23470058,K,2014-11-07,"Winnipeg, Canada","I am a 47 year old mother and a busy entrepreneur for over 19 years. I have rental properties and used to design clothes, which I sold at festivals. I am also a nature lover. I love to travel and I have lived all over the world. I am happy to share my home and garden with others. ",within an hour,100%,64%,t,https://a0.muscache.com/im/pictures/user/76b60fa4-494a-4a0d-a451-0d73dd054420.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/76b60fa4-494a-4a0d-a451-0d73dd054420.jpg?aki_policy=profile_x_medium,,4,23,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",North Kildonan,,49.95453,-97.06287,Entire home,Entire home/apt,5,,2 baths,,3,[],$150.00,4,1125,4,4,1125,1125,4.0,1125.0,,t,13,27,27,27,2023-12-17,15,0,0,2015-09-26,2020-08-18,4.67,4.73,4.8,4.8,4.93,4.8,5.0,,f,4,2,2,0,0.15
5420833,https://www.airbnb.com/rooms/5420833,20231217045019,2023-12-17,city scrape,Home in Winnipeg · ★4.98 · 1 bedroom · 2 beds · 1 private bath,,"We are very close to Concordia Hospital. The neighborhood is relatively quiet except for the train tracks one street over. The apartments across the street block most but not all of the noise from the trains.  We hardly notice them.<br /><br />There is a park behind the house with a climbing structure and wading pool.<br /><br />Major grocery stores are within walking distance. Lots of franchise restaurants nearby and excellent local pizza and Chinese, as well as a fantastic local diner (5 minute drive). YMCA is a 5 minute drive.",https://a0.muscache.com/pictures/85b7940a-6855-4735-8f62-2d38f6fb93b6.jpg,71184,https://www.airbnb.com/users/show/71184,Hiroshi & Naomi,2010-01-17,"Winnipeg, Canada","We are self employed Taiko (Japanese drums) drummers based in Winnipeg, Canada and co-founders of Fubuki Daiko.",within a few hours,100%,94%,f,https://a0.muscache.com/im/users/71184/profile_pic/1290570748/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71184/profile_pic/1290570748/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Winnipeg, Manitoba, Canada",Elmwood - East Kildonan,,49.9097,-97.06932,Private room in home,Private room,4,,1 private bath,,2,[],$55.00,1,30,1,1,30,30,1.0,30.0,,t,0,14,14,47,2023-12-17,133,8,1,2015-06-10,2023-12-08,4.98,4.98,5.0,5.0,5.0,4.9,4.99,,f,1,0,1,0,1.28
